circular_id,circular_number,circular_name,branch_name,year,circular_date,circular_url,english_url,sinhala_url,tamil_url,complete_trilingual
540,321/1986,Sick Leave Establishments Code Chapter XII,,1986,1986-02-17,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=540&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/321-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/321-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/321-1986(t).pdf,True
591,320/1986,Loans for purchase of a Push Bicycle Establishments Code Chapter XXIV,,1986,1986-02-10,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=591&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1986/E/320-1986(e).pdf,https://pubad.gov.lk/web/images/circulars/1986/S/320-1986(s).pdf,https://pubad.gov.lk/web/images/circulars/1986/T/320-1986(t).pdf,True
559,319/1985,"Pay and allowances to public officers, local government employees and public corporation employees who are mobilised for active services in the volunteer forces.",,1985,1985-12-20,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=559&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/319-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/319-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/319-1985(t).pdf,True
558,318/1985,No pay to public officers for study/employment abroad- New establishments code chapter xii,,1985,1985-12-17,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=558&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/318-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/318-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/318-1985(t).pdf,True
568,317/1985,Revised Establishments code Part I (English),,1985,1985-12-10,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=568&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/317-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/317-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/317-1985(t).pdf,True
567,316/1985,Efficincy Bars & the Special increment granted with effect from 18.07.1981 to public officers,,1985,1985-11-29,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=567&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/316-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/316-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/316-1985(t).pdf,True
565,314/1985,Particulars of Members of the Gov. Officers Benifit &the Pu.Ser. Mu. Pro. Association who are released on no-pay leave,,1985,1985-11-26,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=565&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/314-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/314-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/314-1985(t).pdf,True
564,313/1985,Salary Advance to Public officera & employees of public corporations who have suffered property dammaged or loss,,1985,1985-11-22,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=564&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/313-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/313-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/313-1985(t).pdf,True
566,315/1985,Revision of Obligatory period of Service in respect of no-pay leave within the island.,,1985,1985-11-22,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=566&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/315-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/315-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/315-1985(t).pdf,True
1193,312/1985,Study Leave- Sri Lanka Accountants Service,,1985,1985-11-18,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=1193&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/312-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/312-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/312-1985(t).pdf,True
